"uid";"name";"nbContributions";"nbDayContributions";"nbNightContributions";"nbOfweekContributions";"nbOfweekendContributions"
"188930";"J-Louis ZIMMERMANN";"12";"8";"4";"11";"1"
"224769";"[erika]";"0";"0";"0";"0";"0"
"1048594";"Réseau des coordinateurs TICE";"0";"0";"0";"0";"0"
"12295";"mapper_07";"0";"0";"0";"0";"0"
"183561";"EtienneChoveBot";"59";"14";"45";"17";"42"
"3085";"mat";"80";"0";"80";"80";"0"
"933635";"felixjar";"0";"0";"0";"0";"0"
"64783";"DAIMO";"4";"0";"4";"4";"0"
"111123";"Nicolas Korber";"12";"0";"12";"0";"12"
"22803";"Adrien92";"16";"0";"16";"0";"16"
"81170";"Beteille";"1";"0";"1";"1";"0"
"29717";"eumiro";"10";"10";"0";"10";"0"
"449555";"Jérôme Vouillon";"1";"0";"1";"1";"0"
"1198089";"GeorgeKaplan";"20";"4";"16";"15";"5"
"5404";"jmorais";"9";"0";"9";"9";"0"
"1308";"Thomas Walraet";"17";"0";"17";"6";"11"
"562452";"RPVN";"0";"0";"0";"0";"0"
"493862";"import_opendata_paris";"0";"0";"0";"0";"0"
"39457";"Markus59";"0";"0";"0";"0";"0"
"375079";"Black Myst";"3";"0";"3";"3";"0"
"15908";"cantece";"5";"0";"5";"0";"5"
"70948";"Bastien Jacquet";"1";"0";"1";"1";"0"
"1702449";"Guide to the Camino";"0";"0";"0";"0";"0"
"70696";"xybot";"2";"0";"2";"2";"0"
"343084";"andreib";"0";"0";"0";"0";"0"
"1313848";"Ulmon Community";"1";"1";"0";"1";"0"
"39212";"HawkForce";"1";"0";"1";"1";"0"
"45615";"Link Mauve";"4";"0";"4";"4";"0"
"147510";"woodpeck_fixbot";"3";"0";"3";"0";"3"
"132407";"caci_";"1";"0";"1";"1";"0"
"18744";"STA";"2432";"1388";"1044";"2430";"2"
"166969";"occcy";"1";"1";"0";"1";"0"
"600884";"Stamx";"0";"0";"0";"0";"0"
"27454";"Popolon";"72";"9";"63";"72";"0"
"26687";"Rouni";"1";"0";"1";"1";"0"
"172867";"AmiFritz";"628";"2";"626";"628";"0"
"497734";"benchoufi";"0";"0";"0";"0";"0"
"127299";"Batareikin";"0";"0";"0";"0";"0"
"321862";"DanX";"7";"0";"7";"7";"0"
"170817";"makaeser";"21";"4";"17";"0";"21"
"85314";"Samusz";"15";"10";"5";"7";"8"
"43845";"François Blondel";"175";"3";"172";"152";"23"
"138059";"Truchin";"38";"21";"17";"35";"3"
"38985";"Johnny Carlsen";"0";"0";"0";"0";"0"
"24657";"Goon";"1";"0";"1";"1";"0"
"996441";"Fifi Fofo";"1";"0";"1";"1";"0"
"103769";"arenevier";"16";"9";"7";"0";"16"
"655442";"martino260";"0";"0";"0";"0";"0"
"150619";"Mawie";"1699";"859";"840";"1698";"1"
"1083211";"Theo D O Lite";"6";"0";"6";"2";"4"
"345950";"paallevold";"0";"0";"0";"0";"0"
"572757";"Gonzalo_Pires";"0";"0";"0";"0";"0"
