"id";"versions";"contributeurs";"geom-edition";"tag-edition";"stable-tags";"datemin";"datemax"
"4227138";"7";"4";"6";"4";"5";"Tue Sep 08 15:39:57 GMT+01:00 2009";"Fri Jul 26 12:57:26 GMT+01:00 2013"
"187058976";"1";"1";"0";"0";"0";"Mon Oct 22 19:04:44 GMT+01:00 2012";"Mon Oct 22 19:04:44 GMT+01:00 2012"
"4227145";"7";"6";"6";"5";"6";"Fri Nov 06 05:02:36 GMT+01:00 2009";"Fri Jul 26 12:57:27 GMT+01:00 2013"
"55477086";"1";"1";"0";"0";"0";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Thu Apr 15 02:15:43 GMT+01:00 2010"
"4227153";"1";"1";"0";"0";"0";"Fri Jan 04 11:18:44 GMT+01:00 2008";"Fri Jan 04 11:18:44 GMT+01:00 2008"
"55477087";"1";"1";"0";"0";"0";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Thu Apr 15 02:15:43 GMT+01:00 2010"
"55477084";"1";"1";"0";"0";"0";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Thu Apr 15 02:15:43 GMT+01:00 2010"
"55477085";"3";"2";"2";"1";"2";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Wed Mar 20 19:22:15 GMT+01:00 2013"
"55477082";"2";"1";"2";"0";"2";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Thu Apr 15 02:45:16 GMT+01:00 2010"
"55477083";"2";"2";"1";"1";"2";"Thu Apr 15 02:15:43 GMT+01:00 2010";"Wed Mar 20 19:22:17 GMT+01:00 2013"
"55477080";"2";"2";"2";"0";"3";"Thu Apr 15 02:15:42 GMT+01:00 2010";"Thu Feb 21 15:23:17 GMT+01:00 2013"
"55477081";"3";"1";"3";"0";"2";"Thu Apr 15 02:15:42 GMT+01:00 2010";"Thu Apr 15 02:52:37 GMT+01:00 2010"
"53601024";"1";"1";"0";"0";"0";"Sun Mar 28 23:41:22 GMT+01:00 2010";"Sun Mar 28 23:41:22 GMT+01:00 2010"
"53601026";"1";"1";"0";"0";"0";"Sun Mar 28 23:41:22 GMT+01:00 2010";"Sun Mar 28 23:41:22 GMT+01:00 2010"
"53601029";"1";"1";"0";"0";"0";"Sun Mar 28 23:41:22 GMT+01:00 2010";"Sun Mar 28 23:41:22 GMT+01:00 2010"
"53601028";"3";"2";"2";"1";"4";"Sun Mar 28 23:41:22 GMT+01:00 2010";"Mon Dec 02 12:36:16 GMT+01:00 2013"
"53601031";"1";"1";"0";"0";"0";"Sun Mar 28 23:41:23 GMT+01:00 2010";"Sun Mar 28 23:41:23 GMT+01:00 2010"
"83268815";"1";"1";"0";"0";"0";"Fri Oct 29 18:24:54 GMT+01:00 2010";"Fri Oct 29 18:24:54 GMT+01:00 2010"
"53601032";"4";"2";"3";"2";"5";"Sun Mar 28 23:41:23 GMT+01:00 2010";"Tue Nov 26 13:36:14 GMT+01:00 2013"
"62231550";"1";"1";"0";"0";"0";"Sat Jun 19 20:54:27 GMT+01:00 2010";"Sat Jun 19 20:54:27 GMT+01:00 2010"
"40432163";"5";"4";"5";"1";"4";"Wed Dec 16 22:52:31 GMT+01:00 2009";"Thu Jul 08 01:43:10 GMT+01:00 2010"
"203471982";"1";"1";"0";"0";"0";"Wed Jan 30 16:32:48 GMT+01:00 2013";"Wed Jan 30 16:32:48 GMT+01:00 2013"
"62231546";"2";"1";"2";"0";"2";"Sat Jun 19 20:54:26 GMT+01:00 2010";"Thu Jul 08 01:43:22 GMT+01:00 2010"
"203471983";"2";"1";"1";"1";"1";"Wed Jan 30 16:32:48 GMT+01:00 2013";"Wed Jan 30 16:48:08 GMT+01:00 2013"
"203471985";"2";"1";"1";"1";"1";"Wed Jan 30 16:32:48 GMT+01:00 2013";"Wed Jan 30 16:48:08 GMT+01:00 2013"
"203471986";"2";"1";"1";"1";"1";"Wed Jan 30 16:48:08 GMT+01:00 2013";"Wed Jan 30 16:32:48 GMT+01:00 2013"
"203471988";"2";"1";"1";"1";"1";"Wed Jan 30 16:48:08 GMT+01:00 2013";"Wed Jan 30 16:32:48 GMT+01:00 2013"
"203471989";"2";"1";"1";"1";"1";"Wed Jan 30 16:32:48 GMT+01:00 2013";"Wed Jan 30 16:48:08 GMT+01:00 2013"
"43160270";"3";"3";"3";"0";"4";"Fri Nov 06 03:35:30 GMT+01:00 2009";"Sun Apr 11 17:11:45 GMT+01:00 2010"
"203476034";"1";"1";"0";"0";"0";"Wed Jan 30 16:52:52 GMT+01:00 2013";"Wed Jan 30 16:52:52 GMT+01:00 2013"
"203476035";"1";"1";"0";"0";"0";"Wed Jan 30 16:52:52 GMT+01:00 2013";"Wed Jan 30 16:52:52 GMT+01:00 2013"
"4227119";"5";"5";"4";"4";"4";"Thu Sep 03 19:53:14 GMT+01:00 2009";"Fri Jul 26 12:57:25 GMT+01:00 2013"
"4227120";"6";"5";"5";"4";"5";"Tue Sep 08 15:39:57 GMT+01:00 2009";"Fri Jul 26 12:57:25 GMT+01:00 2013"
"23777562";"4";"3";"4";"1";"1";"Thu Sep 03 19:53:14 GMT+01:00 2009";"Fri Apr 30 17:48:41 GMT+01:00 2010"
"4227122";"4";"4";"3";"3";"6";"Tue Sep 08 15:51:02 GMT+01:00 2009";"Thu Aug 15 11:50:19 GMT+01:00 2013"
"52114287";"1";"1";"0";"0";"0";"Thu Mar 11 20:01:45 GMT+01:00 2010";"Thu Mar 11 20:01:45 GMT+01:00 2010"
"4227128";"5";"4";"4";"4";"6";"Fri Jan 04 11:20:59 GMT+01:00 2008";"Fri Jul 26 12:57:27 GMT+01:00 2013"
"4227129";"9";"4";"8";"7";"5";"Mon Apr 19 13:53:34 GMT+01:00 2010";"Fri Jul 26 12:57:26 GMT+01:00 2013"
"4227130";"7";"5";"6";"5";"6";"Fri Nov 06 05:02:12 GMT+01:00 2009";"Fri Jul 26 12:57:26 GMT+01:00 2013"
"4227132";"2";"1";"2";"0";"2";"Tue Sep 08 15:39:57 GMT+01:00 2009";"Mon Apr 19 11:50:21 GMT+01:00 2010"
"4227134";"3";"3";"2";"2";"2";"Fri Jan 04 11:13:28 GMT+01:00 2008";"Fri Jul 26 12:57:26 GMT+01:00 2013"
"4227135";"7";"4";"6";"6";"6";"Fri Jan 04 11:20:14 GMT+01:00 2008";"Fri Jul 26 12:57:26 GMT+01:00 2013"
"56140767";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:51 GMT+01:00 2010";"Fri Apr 23 18:42:51 GMT+01:00 2010"
"56140792";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140793";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140794";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Apr 23 18:42:55 GMT+01:00 2010"
"56140795";"2";"1";"2";"0";"2";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Apr 23 19:07:38 GMT+01:00 2010"
"56140796";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Sep 21 00:08:27 GMT+01:00 2012"
"55886832";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:37 GMT+01:00 2010";"Mon Apr 19 12:17:00 GMT+01:00 2010"
"56140797";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Apr 23 18:42:55 GMT+01:00 2010"
"55886833";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:37 GMT+01:00 2010";"Mon Apr 19 12:17:00 GMT+01:00 2010"
"56140798";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Apr 23 18:42:55 GMT+01:00 2010"
"56140799";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:55 GMT+01:00 2010";"Fri Apr 23 18:42:55 GMT+01:00 2010"
"40579788";"4";"4";"4";"0";"5";"Sun Nov 22 22:34:25 GMT+01:00 2009";"Thu Sep 13 20:09:38 GMT+01:00 2012"
"56140784";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Apr 23 18:42:53 GMT+01:00 2010"
"56140785";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140786";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140787";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140788";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140789";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Sep 21 00:13:51 GMT+01:00 2012"
"56140790";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Sep 21 00:08:28 GMT+01:00 2012"
"56140791";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:54 GMT+01:00 2010";"Fri Apr 23 18:42:54 GMT+01:00 2010"
"56140776";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:52 GMT+01:00 2010";"Fri Apr 23 18:42:52 GMT+01:00 2010"
"56140777";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:52 GMT+01:00 2010";"Fri Apr 23 18:42:52 GMT+01:00 2010"
"56140778";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:52 GMT+01:00 2010";"Fri Apr 23 18:42:52 GMT+01:00 2010"
"55886822";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:28 GMT+01:00 2010";"Mon Apr 19 12:17:01 GMT+01:00 2010"
"56140779";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Sep 21 00:13:50 GMT+01:00 2012"
"55886823";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:35 GMT+01:00 2010";"Mon Apr 19 12:16:59 GMT+01:00 2010"
"56140780";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Apr 23 18:42:53 GMT+01:00 2010"
"56140781";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Apr 23 18:42:53 GMT+01:00 2010"
"56140782";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Sep 21 00:13:44 GMT+01:00 2012"
"56140783";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:53 GMT+01:00 2010";"Fri Apr 23 18:42:53 GMT+01:00 2010"
"56140768";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:51 GMT+01:00 2010";"Fri Apr 23 18:42:51 GMT+01:00 2010"
"55886828";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:36 GMT+01:00 2010";"Mon Apr 19 12:17:02 GMT+01:00 2010"
"56140769";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:51 GMT+01:00 2010";"Fri Apr 23 18:42:51 GMT+01:00 2010"
"55886829";"1";"1";"0";"0";"0";"Mon Apr 19 12:07:36 GMT+01:00 2010";"Mon Apr 19 12:07:36 GMT+01:00 2010"
"56140770";"2";"2";"2";"0";"2";"Fri Apr 23 18:42:51 GMT+01:00 2010";"Fri Sep 21 00:13:51 GMT+01:00 2012"
"55886830";"2";"1";"2";"0";"2";"Mon Apr 19 12:07:36 GMT+01:00 2010";"Mon Apr 19 12:17:00 GMT+01:00 2010"
"56140771";"1";"1";"0";"0";"0";"Fri Apr 23 18:42:51 GMT+01:00 2010";"Fri Apr 23 18:42:51 GMT+01:00 2010"
