"source";"target";"weight"
"860686";"210284";"1.0"
"1198200";"456224";"1.0"
"1198200";"17397";"1.0"
"449666";"456224";"1.0"
"685989";"1016401";"2.0"
"290791";"45726";"1.0"
"1198200";"18855";"1.0"
"210284";"17397";"1.0"
"372540";"290791";"1.0"
"158937";"17397";"1.0"
"1093652";"1709522";"2.0"
"2070812";"210284";"2.0"
"1779695";"210284";"1.0"
"1779695";"18855";"1.0"
"1198200";"290791";"1.0"
"57237";"210284";"1.0"
"208940";"33745";"1.0"
"705855";"189041";"1.0"
"1198200";"33745";"1.0"
"400494";"1198200";"1.0"
"400494";"33745";"1.0"
"1556330";"158937";"1.0"
"1424559";"1556330";"2.0"
"1424559";"17397";"1.0"
"1556330";"17397";"1.0"
"227609";"17397";"1.0"
"98554";"17397";"1.0"
"143814";"17397";"1.0"
"705855";"1964637";"1.0"
"449666";"17397";"1.0"
"158937";"1083322";"1.0"
"210284";"45726";"1.0"
"158937";"1198200";"1.0"
"158937";"492895";"1.0"
"1198200";"492895";"1.0"
"290791";"1779695";"2.0"
"1198200";"210284";"1.0"
"1198200";"27565";"1.0"
"210284";"27565";"1.0"
"290791";"88413";"1.0"
"158937";"33745";"1.0"
"705855";"17397";"1.0"
"48107";"656987";"1.0"
"705855";"1424559";"1.0"
"705855";"210284";"1.0"
"1424559";"210284";"2.0"
"705855";"158937";"1.0"
"365385";"48107";"1.0"
"1198200";"158937";"1.0"
"996552";"210284";"1.0"
"644658";"210284";"2.0"
"644658";"17397";"1.0"
"309321";"1779695";"1.0"
"1878967";"1779695";"1.0"
"1198200";"1779695";"1.0"
"705855";"456224";"1.0"
"158937";"1779695";"1.0"
"1779695";"158937";"1.0"
"365385";"210284";"1.0"
"365385";"1709522";"1.0"
"210284";"1709522";"3.0"
"181246";"860686";"1.0"
"1424559";"290791";"1.0"
"76380";"17397";"1.0"
"1198200";"85425";"1.0"
"85425";"17397";"1.0"
"210284";"1198200";"1.0"
"210284";"158937";"1.0"
"194865";"183561";"1.0"
"194865";"17397";"1.0"
"183561";"17397";"1.0"
"92186";"158937";"1.0"
"158937";"449666";"1.0"
"1544433";"158937";"2.0"
"210284";"37659";"1.0"
"37659";"17397";"1.0"
"189041";"33745";"1.0"
"1779695";"229685";"1.0"
"860686";"1072351";"1.0"
"860686";"1219083";"1.0"
"860686";"85425";"1.0"
"1072351";"1219083";"1.0"
"1072351";"85425";"1.0"
"1219083";"85425";"1.0"
"1198200";"896620";"1.0"
"1198200";"229685";"1.0"
"896620";"229685";"1.0"
