"source";"target";"weight"
"150730";"33745";"24.0"
"150730";"18855";"14.0"
"33745";"18855";"22.0"
"17397";"212981";"3.0"
"42302";"210284";"2.0"
"42302";"27085";"1.0"
"42302";"229685";"1.0"
"210284";"27085";"1.0"
"27085";"210284";"1.0"
"27085";"229685";"1.0"
"210284";"229685";"1.0"
"17397";"18855";"166.0"
"456224";"17397";"34.0"
"456224";"33745";"29.0"
"17397";"33745";"108.0"
"492895";"17397";"4.0"
"492895";"33745";"4.0"
"372540";"290791";"3.0"
"372540";"17397";"4.0"
"290791";"17397";"20.0"
"158937";"17397";"20.0"
"290791";"150730";"1.0"
"290791";"24362";"1.0"
"17397";"150730";"137.0"
"17397";"24362";"5.0"
"150730";"24362";"4.0"
"17397";"170928";"8.0"
"212981";"33745";"1.0"
"33745";"170928";"4.0"
"33745";"17397";"35.0"
"1779695";"17397";"3.0"
"1779695";"150730";"4.0"
"1072351";"1779695";"26.0"
"27565";"17397";"19.0"
"27565";"33745";"12.0"
"172978";"17397";"610.0"
"17397";"138170";"2.0"
"158937";"1083322";"4.0"
"870972";"17397";"11.0"
"870972";"43956";"9.0"
"17397";"43956";"15.0"
"17397";"3196";"40.0"
"33745";"3196";"7.0"
"338722";"17397";"9.0"
"338722";"3196";"4.0"
"17397";"5515";"4.0"
"172978";"43956";"10.0"
"172978";"3196";"20.0"
"172978";"33745";"4.0"
"189041";"33745";"2.0"
"189041";"17397";"3.0"
"338722";"172978";"3.0"
"1198200";"290791";"7.0"
"1198200";"102723";"2.0"
"290791";"102723";"2.0"
"158937";"33745";"7.0"
"158937";"3196";"2.0"
"1083322";"158937";"1.0"
"1779695";"18855";"2.0"
"1198200";"71059";"2.0"
"290791";"71059";"1.0"
"18855";"17397";"1.0"
"18855";"24362";"1.0"
"26798";"158937";"2.0"
"26798";"599087";"2.0"
"158937";"599087";"2.0"
"1198200";"492895";"1.0"
"492895";"71059";"1.0"
"17397";"158937";"25.0"
"1198200";"27565";"1.0"
"456224";"210284";"71.0"
"1072351";"456224";"53.0"
"1072351";"210284";"54.0"
"33745";"133675";"1.0"
"133675";"33745";"1.0"
"1198200";"158937";"2.0"
"1198200";"210284";"2.0"
"158937";"210284";"193.0"
"158937";"987646";"1.0"
"1198200";"138170";"2.0"
"1198200";"154411";"3.0"
"138170";"290791";"1.0"
"138170";"210284";"2.0"
"138170";"154411";"2.0"
"290791";"210284";"3.0"
"290791";"154411";"2.0"
"210284";"154411";"1.0"
"147621";"210284";"4.0"
"147621";"29828";"3.0"
"147621";"18855";"1.0"
"210284";"29828";"3.0"
"210284";"18855";"1.0"
"29828";"18855";"1.0"
"290791";"43956";"6.0"
"18855";"183672";"10.0"
"147621";"183672";"1.0"
"210284";"183672";"2.0"
"29828";"183672";"2.0"
"1779695";"183672";"1.0"
"158937";"27565";"1.0"
"158937";"290791";"10.0"
"158937";"183672";"1.0"
"27565";"290791";"1.0"
"27565";"183672";"1.0"
"290791";"183672";"1.0"
"1198200";"17397";"2.0"
"1198200";"43956";"2.0"
"372540";"210284";"1.0"
"372540";"33745";"1.0"
"372540";"85425";"1.0"
"210284";"290791";"3.0"
"210284";"17397";"15.0"
"210284";"33745";"11.0"
"210284";"85425";"1.0"
"290791";"33745";"5.0"
"290791";"85425";"1.0"
"17397";"85425";"3.0"
"33745";"85425";"1.0"
"138170";"33745";"1.0"
"18855";"43956";"18.0"
"33745";"83668";"2.0"
"1072351";"492895";"42.0"
"210284";"492895";"20.0"
"456224";"492895";"29.0"
"18855";"33745";"12.0"
"18855";"1419";"2.0"
"33745";"1419";"5.0"
"456224";"18855";"6.0"
"17397";"45726";"2.0"
"85425";"33745";"1.0"
"85425";"18855";"1.0"
"33745";"41501";"3.0"
"1779695";"229685";"1.0"
"158937";"41501";"1.0"
"290791";"41501";"1.0"
"1779695";"43956";"4.0"
"870972";"150730";"10.0"
"870972";"33745";"10.0"
"870972";"183672";"13.0"
"150730";"183672";"19.0"
"33745";"183672";"21.0"
"1072351";"138170";"6.0"
"1198200";"1779695";"1.0"
"210284";"43956";"3.0"
"158937";"1779695";"2.0"
"1779695";"158937";"2.0"
"1779695";"290791";"1.0"
"1779695";"210284";"2.0"
"158937";"43956";"2.0"
"1072351";"17397";"288.0"
"599087";"17397";"1.0"
"158937";"127410";"1.0"
"1779695";"127410";"1.0"
"1779695";"46063";"1.0"
"127410";"158937";"1.0"
"127410";"210284";"1.0"
"127410";"46063";"1.0"
"158937";"46063";"1.0"
"210284";"46063";"1.0"
"158937";"150730";"4.0"
"870972";"172978";"3.0"
"1779695";"85425";"1.0"
"27565";"18855";"2.0"
"375190";"18855";"2.0"
"1072351";"33745";"1.0"
"158937";"19529";"4.0"
"290791";"19529";"2.0"
"17397";"19529";"2.0"
"158937";"172978";"2.0"
"172978";"19529";"2.0"
"1779695";"29828";"1.0"
"1779695";"88413";"1.0"
"29828";"88413";"1.0"
"29828";"43956";"2.0"
"88413";"43956";"1.0"
"19529";"43956";"1.0"
"70807";"355353";"1.0"
"43956";"355353";"1.0"
"860686";"1072351";"26.0"
"158937";"110374";"1.0"
"210284";"110374";"1.0"
"290791";"110374";"1.0"
"17397";"110374";"1.0"
"110374";"33745";"1.0"
"33745";"43956";"15.0"
"1198200";"92186";"1.0"
"290791";"92186";"1.0"
"92186";"154411";"1.0"
"456224";"43956";"5.0"
"290791";"493973";"1.0"
"132518";"2271";"1.0"
"132518";"150730";"1.0"
"132518";"24362";"1.0"
"2271";"150730";"1.0"
"2271";"24362";"1.0"
"1198200";"1313959";"1.0"
"138170";"17397";"2.0"
"338722";"456224";"2.0"
"600995";"17397";"1.0"
"372540";"158937";"1.0"
"17397";"11810";"31.0"
"338722";"11810";"2.0"
"1072351";"150730";"115.0"
"17397";"38373";"1.0"
"33745";"38373";"2.0"
"456224";"27565";"26.0"
"154411";"33745";"4.0"
"154411";"45726";"1.0"
"33745";"45726";"1.0"
"456224";"154411";"2.0"
"154411";"17397";"4.0"
"16149";"17397";"1.0"
"16149";"210284";"1.0"
"16149";"43956";"1.0"
"17397";"210284";"2.0"
"144103";"43956";"2.0"
"1779695";"144103";"1.0"
"599087";"189041";"1.0"
"10721";"715482";"1.0"
"10721";"562563";"1.0"
"10721";"343195";"1.0"
"10721";"85329";"1.0"
"10721";"530714";"1.0"
"10721";"90891";"1.0"
"10721";"45049";"1.0"
"10721";"71742";"1.0"
"715482";"562563";"1.0"
"715482";"343195";"1.0"
"715482";"85329";"1.0"
"715482";"530714";"1.0"
"715482";"90891";"1.0"
"715482";"45049";"1.0"
"715482";"71742";"1.0"
"715482";"10721";"1.0"
"715482";"224880";"1.0"
"715482";"2335";"1.0"
"715482";"888567";"1.0"
"715482";"167080";"1.0"
"715482";"722248";"1.0"
"715482";"88413";"1.0"
"562563";"343195";"1.0"
"562563";"85329";"1.0"
"562563";"530714";"1.0"
"562563";"90891";"1.0"
"562563";"45049";"1.0"
"562563";"71742";"1.0"
"562563";"10721";"1.0"
"562563";"224880";"1.0"
"562563";"2335";"1.0"
"562563";"888567";"1.0"
"562563";"167080";"1.0"
"562563";"722248";"1.0"
"562563";"88413";"1.0"
"343195";"85329";"1.0"
"343195";"530714";"1.0"
"343195";"90891";"1.0"
"343195";"45049";"1.0"
"343195";"71742";"1.0"
"343195";"10721";"1.0"
"343195";"224880";"1.0"
"343195";"2335";"1.0"
"343195";"888567";"1.0"
"343195";"167080";"1.0"
"343195";"722248";"1.0"
"343195";"88413";"1.0"
"85329";"530714";"1.0"
"85329";"90891";"1.0"
"85329";"45049";"1.0"
"85329";"71742";"1.0"
"85329";"10721";"1.0"
"85329";"224880";"1.0"
"85329";"2335";"1.0"
"85329";"888567";"1.0"
"85329";"167080";"1.0"
"85329";"722248";"1.0"
"85329";"88413";"1.0"
"530714";"90891";"1.0"
"530714";"45049";"1.0"
"530714";"71742";"1.0"
"530714";"10721";"1.0"
"530714";"224880";"1.0"
"530714";"2335";"1.0"
"530714";"888567";"1.0"
"530714";"167080";"1.0"
"530714";"722248";"1.0"
"530714";"88413";"1.0"
"90891";"45049";"1.0"
"90891";"71742";"1.0"
"90891";"10721";"1.0"
"90891";"224880";"1.0"
"90891";"2335";"1.0"
"90891";"888567";"1.0"
"90891";"167080";"1.0"
"90891";"722248";"1.0"
"90891";"88413";"1.0"
"45049";"71742";"1.0"
"45049";"10721";"1.0"
"45049";"224880";"1.0"
"45049";"2335";"1.0"
"45049";"888567";"1.0"
"45049";"167080";"1.0"
"45049";"722248";"1.0"
"45049";"88413";"1.0"
"71742";"10721";"1.0"
"71742";"224880";"1.0"
"71742";"2335";"1.0"
"71742";"888567";"1.0"
"71742";"167080";"1.0"
"71742";"722248";"1.0"
"71742";"88413";"1.0"
"10721";"224880";"1.0"
"10721";"2335";"1.0"
"10721";"888567";"1.0"
"10721";"167080";"1.0"
"10721";"722248";"1.0"
"10721";"88413";"1.0"
"224880";"2335";"1.0"
"224880";"888567";"1.0"
"224880";"167080";"1.0"
"224880";"722248";"1.0"
"224880";"88413";"1.0"
"2335";"888567";"1.0"
"2335";"167080";"1.0"
"2335";"722248";"1.0"
"2335";"88413";"1.0"
"888567";"167080";"1.0"
"888567";"722248";"1.0"
"888567";"88413";"1.0"
"167080";"722248";"1.0"
"167080";"88413";"1.0"
"722248";"88413";"1.0"
"290791";"267768";"1.0"
"1779695";"33745";"1.0"
"338722";"33745";"2.0"
"17397";"1779695";"1.0"
"17397";"183672";"3.0"
"172978";"150730";"1.0"
"172978";"183672";"6.0"
"33745";"20689";"3.0"
"17397";"20689";"1.0"
"1072351";"158937";"1.0"
"492895";"210284";"13.0"
"456224";"183672";"1.0"
"17397";"2611";"4.0"
"858624";"150730";"1.0"
"858624";"24362";"1.0"
"33745";"456224";"1.0"
"33745";"154411";"1.0"
"29828";"17397";"4.0"
"33745";"2611";"7.0"
"41298";"18855";"1.0"
"16932";"394335";"1.0"
"16932";"158937";"1.0"
"16932";"138170";"1.0"
"16932";"210284";"1.0"
"16932";"346061";"1.0"
"394335";"158937";"1.0"
"394335";"138170";"1.0"
"394335";"210284";"1.0"
"394335";"346061";"1.0"
"158937";"138170";"1.0"
"158937";"346061";"1.0"
"138170";"346061";"1.0"
"210284";"346061";"1.0"
"132518";"49158";"1.0"
"132518";"18855";"1.0"
"49158";"18855";"1.0"
"147621";"17397";"2.0"
"147621";"24768";"1.0"
"210284";"24768";"1.0"
"17397";"24768";"1.0"
"27565";"24768";"1.0"
"17397";"133675";"1.0"
"41501";"18855";"1.0"
"39568";"27565";"1.0"
"158937";"18855";"1.0"
"372540";"18855";"1.0"
"229685";"18855";"1.0"
"275932";"17397";"12.0"
"456224";"655553";"1.0"
"655553";"17397";"1.0"
"33745";"24362";"1.0"
"210284";"125450";"1.0"
"210284";"7455";"1.0"
"125450";"7455";"1.0"
"125450";"17397";"1.0"
"125450";"33745";"1.0"
"7455";"17397";"1.0"
"7455";"33745";"1.0"
"18855";"81281";"1.0"
"393566";"17397";"1.0"
"29828";"500188";"1.0"
"210284";"19529";"1.0"
"189041";"85425";"1.0"
"17397";"1419";"1.0"
"17397";"83668";"5.0"
"158937";"37659";"1.0"
"210284";"37659";"1.0"
"210284";"158937";"1.0"
"37659";"158937";"1.0"
"37659";"290791";"1.0"
"37659";"33745";"1.0"
"33745";"212981";"1.0"
"70807";"417487";"1.0"
"1083322";"19529";"1.0"
"456224";"11810";"3.0"
"16019";"2611";"1.0"
"492895";"16019";"2.0"
"16019";"33745";"1.0"
"42302";"492895";"1.0"
"42302";"16019";"1.0"
"210284";"16019";"1.0"
"338722";"189041";"1.0"
"375190";"158937";"1.0"
"375190";"12642";"1.0"
"375190";"150589";"1.0"
"375190";"17397";"2.0"
"375190";"29828";"1.0"
"158937";"12642";"1.0"
"158937";"150589";"1.0"
"158937";"29828";"1.0"
"12642";"150589";"1.0"
"12642";"17397";"1.0"
"12642";"29828";"1.0"
"150589";"17397";"1.0"
"150589";"29828";"1.0"
"17397";"29828";"1.0"
"870972";"18855";"3.0"
"172978";"18855";"6.0"
"290791";"492895";"1.0"
"138170";"492895";"1.0"
"456224";"2611";"1.0"
"492895";"2611";"1.0"
"680232";"1072351";"16.0"
"90891";"33745";"1.0"
"90891";"17397";"1.0"
"1072351";"11810";"28.0"
"17397";"41501";"1.0"
"41501";"150730";"1.0"
"150730";"43956";"4.0"
"150730";"1419";"1.0"
"43956";"1419";"1.0"
"456224";"150730";"1.0"
"138170";"456224";"1.0"
"138170";"11810";"1.0"
"17397";"17483";"1.0"
"33745";"17483";"1.0"
"158937";"293885";"1.0"
"293885";"17397";"1.0"
"1198200";"1709522";"1.0"
"338722";"18855";"1.0"
"189041";"456224";"1.0"
"290791";"16441";"1.0"
"17397";"16441";"1.0"
"85425";"17397";"1.0"
"85425";"150730";"1.0"
"1709522";"1702560";"1.0"
"18855";"85425";"2.0"
"989675";"18855";"1.0"
"989675";"85425";"1.0"
"18855";"12133";"1.0"
"2271";"70807";"1.0"
"2271";"462647";"1.0"
"70807";"462647";"1.0"
"158937";"2611";"1.0"
"27565";"2611";"1.0"
"375190";"172978";"1.0"
"1072351";"321973";"1.0"
